"year","region_id","name","ons_code","road_category_id","total_link_length_km","total_link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","all_hgvs","all_motor_vehicles"
2001,8,"Yorkshire and The Humber","E12000003",4,2623.63,1630.25,36216358.9636523,70536219.7267955,5874471931.4205,96171366.0969935,752630745.198043,308099375.894774,7101909624.04557
2001,8,"Yorkshire and The Humber","E12000003",5,1922.5,1194.59,13582481.5223843,20812664.5630891,1306879540.96419,23422207.3262199,233701524.812411,56520309.8871615,1641336247.55308
2001,8,"Yorkshire and The Humber","E12000003",6,26041.9,16181.69,192144200.828129,90563065.6918993,5751074913.83108,99892134.7029497,873219406.291204,148575779.329404,6963325299.84654
2001,9,"South East","E12000008",1,644.4,400.41,0,84104742.6777619,10526246543.3121,92561726.3928657,1357117971.67044,1231576011.0952,13291606985.2064
2001,9,"South East","E12000008",2,10.6,6.59,0,1829667.86467033,143463985.325698,1173466.33162332,14708238.8849121,7198987.91060208,168374344.453392
2001,9,"South East","E12000008",3,875.6,544.07,3003680.38157162,66014026.8332936,5509032368.46815,39181874.1052255,728172467.166746,494656217.688698,6837056939.97057
2001,9,"South East","E12000008",4,4332.18,2691.89,60718335.5454148,163295864.02907,12182673010.2452,122227585.276982,1480844650.36686,522891272.468782,14471932366.8526
2001,9,"South East","E12000008",5,3089.7,1919.85,27669766.2376043,40169379.9555664,2621790308.18001,29746512.2349721,428513543.138279,80867730.8439134,3201087474.35274
2001,9,"South East","E12000008",6,38446.7,23889.67,359777898.231286,182995812.495981,11523795659.8873,134340271.113597,1601632866.92352,217647995.04629,13660412605.4667
2001,10,"West Midlands","E12000005",1,381.7,237.18,0,18867375.1541001,4960979950.21574,33560691.1884594,746036950.459317,1045504628.59401,6804949586.91243
2001,10,"West Midlands","E12000005",2,4.3,2.67,0,536473.867613139,57079082.5330072,1059521.14650441,8913145.97749145,3379577.02020202,70967799.9234471
2001,10,"West Midlands","E12000005",3,838.7,521.14,3052623.92627058,26246556.3608526,2968691004.53352,20355527.4695777,408495392.53261,349721746.87326,3773510217.82789
2001,10,"West Midlands","E12000005",4,2709.59,1683.66,23391858.4218166,60648203.2430605,5988655642.92035,90332302.4785254,789038267.766245,314506137.904637,7243180542.50676
2001,10,"West Midlands","E12000005",5,2506,1557.16,19364148.2182007,27127048.8852408,1938556543.56825,32179017.7134485,315789932.419487,62406457.9732313,2376059000.55966
2001,10,"West Midlands","E12000005",6,25907.4,16098.11,156552339.61568,84635609.9345012,6983414831.11608,145559431.527676,962837515.930228,146255812.078969,8322703200.58745
2001,11,"North East","E12000001",1,55.6,34.55,0,2056286.90944882,455366748.811938,3003519.44643283,65808361.0464885,80654584.7252048,606889499.696771
2001,11,"North East","E12000001",2,2.4,1.49,0,165020.033007238,29315096.7102124,214780.059452796,3176522.23514674,809405.571462658,33680824.6092818
2001,11,"North East","E12000001",3,437.5,271.85,599889.768750497,13617014.1374374,1932968667.979,14042196.0749225,253704196.243935,207503735.683608,2421835798.93422
2001,11,"North East","E12000001",4,1314.2,816.61,11032894.1481747,25123100.4682653,2923158086.77324,50044188.1909648,359535426.857154,145299733.307484,3503160522.54832
2001,11,"North East","E12000001",5,1339.6,832.39,4975647.48292721,7538716.19108904,680323515.281725,17026099.2756465,102690420.181399,20853520.4163597,828432271.346219
2001,11,"North East","E12000001",6,12923.4,8030.23,74299961.0141088,28468074.0541997,3429202262.70419,104698927.560195,444771220.713093,66463227.3564906,4073603712.38816
2002,1,"South West","E12000009",1,326.8,203.06,0,21075367.0439633,3718504224.70274,26252723.15925,454730232.628947,583100554.635926,4803663102.17082
2002,1,"South West","E12000009",3,1003,623.24,1819665.65258888,39419670.6856955,3541682855.25034,23181980.670385,462982844.562754,328611767.27909,4395879118.44826
2002,1,"South West","E12000009",4,3925.9,2439.44,30449500.5729042,119725404.201961,7412090512.87357,84821945.8052474,968904432.427126,385628715.240496,8971171010.5484
2002,1,"South West","E12000009",5,3284.9,2041.14,24090541.7248084,44793251.5179228,2031265698.55051,31704885.0344445,360301020.419755,74602988.4642618,2542667843.98689
2002,1,"South West","E12000009",6,41003.1,25478.15,190900508.487871,160645640.992612,6681737496.70263,112042988.983074,1003675139.85845,162550978.048933,8120652244.5857
2002,2,"East Midlands","E12000004",1,193.7,120.36,0,12203635.1457488,2820018498.84176,15252740.868329,438539875.874891,645153689.018631,3931168439.74936
2002,2,"East Midlands","E12000004",3,1106.9,687.8,3677456.46673427,36648985.238706,4200164951.06081,24162348.4475662,627890702.050028,694994569.837151,5583861556.63426
2002,2,"East Midlands","E12000004",4,2727.76,1694.95,23853153.6141434,65062622.5965362,5454669132.76465,55070326.2012348,758017641.442724,385694696.03764,6718514419.04279
2002,2,"East Midlands","E12000004",5,2008,1247.71,13194956.4093146,22072796.3230807,1260623130.8159,17250258.2482832,228169903.577191,64572158.6825452,1592688247.647
2002,2,"East Midlands","E12000004",6,25170.9,15640.47,181003710.660511,97286433.6971692,5444259984.76985,95047510.2790298,793327290.670343,176124665.825301,6606045885.24169
